"Bin","Day","GWC","Depth"
17,78,10.95890233,30
17,78,7.317759906,10
17,79,10.642159,30
17,79,6.915649919,10
17,80,10.469314,30
17,80,6.48033265,10
17,81,10.18903233,30
17,81,6.117266375,10
17,82,10.70200067,30
17,82,7.767567625,10
17,83,10.69921733,30
17,83,7.694511606,10
17,84,10.73345233,30
17,84,8.131640181,10
17,85,10.865104,30
17,85,8.018534169,10
17,86,10.81277733,30
17,86,7.39484105,10
17,87,10.660529,30
17,87,6.84742405,10
17,88,10.316509,30
17,88,6.576734394,10
17,89,10.88236067,30
17,89,7.630512119,10
17,90,12.77502733,30
17,90,7.928572625,10
17,91,11.07496733,30
17,91,7.726310094,10
17,92,10.44649067,30
17,92,7.4801737,10
17,93,10.783274,30
17,93,7.710813363,10
17,94,11.11950067,30
17,94,7.988748244,10
17,95,11.01484733,30
17,95,7.414966675,10
17,96,10.653014,30
17,96,7.146490838,10
17,97,10.234679,30
17,97,6.744984619,10
17,98,10.37690733,30
17,98,7.706989494,10
17,99,10.904349,30
17,99,7.930585188,10
17,100,10.59901733,30
17,100,7.548600825,10
17,101,9.717535667,30
17,101,6.932555444,10
17,102,10.116944,30
17,102,6.389566081,10
17,103,10.15229233,30
17,103,6.020864631,10
17,104,9.877020667,30
17,104,6.578948213,10
17,105,11.10196567,30
17,105,7.735769138,10
17,106,10.855919,30
17,106,7.435897325,10
17,107,10.64076733,30
17,107,7.051296631,10
17,108,10.541124,30
17,108,7.322187544,10
17,109,10.048474,30
17,109,7.097585569,10
17,110,8.665992333,30
17,110,5.964311625,10
17,111,10.49631233,30
17,111,7.309709656,10
17,112,10.48160043,30
17,112,6.90216575,10
18,0,9.858094,30
18,0,7.269860919,10
18,1,9.855589,30
18,1,7.110465969,10
18,2,9.701114,30
18,2,7.059346881,10
18,3,11.019579,30
18,3,7.555443538,10
18,4,12.28154233,30
18,4,7.903818106,10
18,5,12.389814,30
18,5,7.915289713,10
18,6,12.226989,30
18,6,7.817680431,10
18,7,12.440749,30
18,7,8.044697481,10
18,8,13.295789,30
18,8,8.439360988,10
18,9,13.23539067,30
18,9,8.387436875,10
18,10,13.101234,30
18,10,8.333701456,10
18,11,13.47420067,30
18,11,8.583661719,10
18,12,14.032259,30
18,12,9.013545069,10
18,13,13.80486067,30
18,13,8.864414188,10
18,14,13.56772067,30
18,14,8.800213444,10
18,15,13.736669,30
18,15,9.078148325,10
18,16,14.043949,30
18,16,9.426522894,10
18,17,13.91814233,30
18,17,9.324284719,10
18,18,13.71885567,30
18,18,9.099884,10
18,19,13.490344,30
18,19,8.968262413,10
18,20,13.160519,30
18,20,8.9002378,10
18,21,14.08041067,30
18,21,9.483277156,10
18,22,13.955439,30
18,22,9.36876235,10
18,23,13.689074,30
18,23,9.319655825,10
18,24,13.429389,30
18,24,9.206549813,10
18,25,14.05007233,30
18,25,9.767853494,10
18,26,13.990509,30
18,26,9.771073594,10
18,27,13.70187733,30
18,27,9.609464825,10
18,28,13.684899,30
18,28,9.719149481,10
18,29,14.121604,30
18,29,10.00553713,10
18,30,13.916194,30
18,30,9.873714281,10
18,31,13.562154,30
18,31,9.644684669,10
18,32,13.64342733,30
18,32,9.914166788,10
18,33,14.13301567,30
18,33,10.14762404,10
18,34,13.99273567,30
18,34,10.02344893,10
18,35,13.606409,30
18,35,9.792406756,10
18,36,13.70048567,30
18,36,10.08080696,10
18,37,14.05925733,30
18,37,10.20860468,10
18,38,14.00414733,30
18,38,10.07275671,10
18,39,13.607244,30
18,39,9.808708513,10
18,40,13.78621233,30
18,40,10.15144791,10
18,41,14.12383067,30
